Gender,Stream,Internships,CGPA,HistoryOfBacklogs,PlacedOrNot,certificates
Male,Electronics And Communication,1,8,1,1,2
Female,Computer Science,0,7,1,1,2
Female,Computer Science,1,6,0,1,3
Male,Computer Science,0,8,1,1,1
Male,Mechanical,0,8,0,1,1
Male,Electronics And Communication,0,6,0,0,0
Male,Computer Science,0,7,1,0,0
Male,Computer Science,1,7,0,0,0
Male,Computer Science,2,6,0,1,2
Female,Computer Science,1,6,0,0,1
Male,Computer Science,1,7,0,0,2
Female,Electrical,1,8,1,1,3
Female,Computer Science,2,6,1,0,1
Male,Computer Science,1,8,1,1,2
Female,Electronics And Communication,2,8,0,1,3
Male,Mechanical,0,8,0,1,1
Female,Computer Science,1,7,0,0,1
Male,Civil,0,6,0,0,0
Male,Computer Science,1,7,0,0,0
Male,Computer Science,1,7,0,0,0
Male,Civil,0,8,0,1,0
Male,Computer Science,1,6,0,0,1
Male,Civil,0,7,0,0,0
Male,Electronics And Communication,1,7,1,0,0
Male,Electronics And Communication,0,7,0,0,0
Male,Electrical,0,8,0,1,2
Male,Electrical,1,8,0,1,1
Male,Computer Science,1,8,0,1,1
Male,Computer Science,1,8,0,1,1
Male,Computer Science,0,6,0,1,1
Male,Mechanical,1,8,0,1,1
Male,Electrical,1,7,0,1,1
Female,Civil,1,7,0,0,0
Male,Electrical,0,7,0,0,1
Male,Computer Science,1,6,0,1,2
Male,Computer Science,1,6,0,0,0
Male,Civil,0,7,0,1,0
Male,Computer Science,1,8,0,1,1
Male,Computer Science,1,6,0,0,0
Male,Electronics And Communication,0,8,1,1,2
Male,Electrical,1,6,1,0,0
Male,Civil,0,8,0,1,2
Male,Electrical,1,7,1,1,3
Male,Electrical,1,7,0,1,3
Female,Computer Science,2,8,0,1,4
Female,Electronics And Communication,3,6,0,1,1
Male,Computer Science,1,8,0,1,1
Male,Electronics And Communication,1,7,1,1,1
Male,Computer Science,2,7,0,1,1
Female,Electronics And Communication,0,7,0,0,1
Male,Electronics And Communication,0,8,0,1,1
Male,Electrical,1,8,0,1,1
Female,Computer Science,1,8,0,1,0
Male,Electrical,3,6,1,0,1
Female,Electronics And Communication,3,6,0,1,1
Male,Computer Science,1,7,0,1,0
Male,Electronics And Communication,0,8,0,1,0
Male,Civil,0,8,0,1,0
Male,Electronics And Communication,0,8,0,1,0
Female,Electrical,1,8,0,1,0
Male,Computer Science,2,9,1,1,1
Male,Computer Science,0,8,0,1,2
Male,Computer Science,0,8,0,1,1
Male,Computer Science,0,9,0,1,2
Male,Computer Science,1,8,0,1,1
Male,Mechanical,0,9,0,1,2
Male,Computer Science,1,9,0,1,1
Male,Computer Science,0,8,0,1,2
Male,Computer Science,2,9,0,1,1
Male,Mechanical,0,8,1,1,2
Male,Electrical,1,8,0,1,2
Male,Computer Science,0,9,0,1,1
Male,Computer Science,3,9,0,1,3
Male,Computer Science,0,8,0,1,3
Male,Computer Science,1,9,0,1,3
Male,Civil,0,8,0,1,3
Male,Mechanical,0,9,0,1,3
Male,Mechanical,0,8,1,1,3
Male,Computer Science,0,8,0,1,3
Male,Computer Science,1,8,0,1,2
Male,Civil,0,9,0,1,2
Male,Computer Science,1,9,0,1,2
Male,Mechanical,0,8,0,1,1
Male,Computer Science,0,8,0,1,1
Male,Mechanical,0,8,0,1,2
Male,Electronics And Communication,2,7,0,1,2
Male,Computer Science,0,8,0,1,2
Male,Computer Science,0,6,0,0,0
Female,Civil,1,6,0,0,0
Male,Mechanical,1,7,0,0,1
Male,Civil,1,8,1,1,1
Male,Computer Science,1,6,0,1,2
Male,Electrical,1,6,0,1,3
Female,Computer Science,2,7,0,0,1
Male,Electronics And Communication,0,6,0,0,0
Male,Computer Science,1,8,0,1,0
Male,Computer Science,2,7,0,0,1
Male,Computer Science,0,8,0,1,2
Female,Computer Science,0,7,0,0,0
Male,Mechanical,0,7,0,0,0
Male,Computer Science,0,7,0,1,3
Male,Civil,0,6,0,1,2
Male,Mechanical,1,5,0,0,4
Male,Computer Science,2,6,0,1,3
Male,Electrical,0,5,0,0,2
Male,Computer Science,1,6,0,0,1
Female,Computer Science,0,6,0,1,2
Male,Computer Science,1,7,0,1,1
Male,Civil,1,7,1,1,2
Male,Computer Science,1,7,0,1,2
Male,Computer Science,1,6,0,1,3
Male,Electronics And Communication,1,6,1,1,3
Male,Electrical,0,7,0,0,0
Male,Computer Science,1,6,0,0,1
Male,Computer Science,0,6,0,1,3
Male,Electrical,0,6,0,0,0
Male,Computer Science,1,7,0,1,2
Male,Computer Science,1,7,0,1,2
Male,Computer Science,3,5,1,1,4
Male,Mechanical,0,6,0,1,3
Female,Computer Science,2,6,0,1,3
Male,Electronics And Communication,1,7,0,0,0
Male,Computer Science,1,5,0,1,5
Male,Computer Science,1,7,0,1,2
Male,Mechanical,2,7,0,1,2
Male,Computer Science,1,5,0,0,1
Male,Computer Science,1,7,0,0,0
Male,Computer Science,2,7,0,1,3
Male,Electronics And Communication,0,5,0,0,1
Male,Computer Science,1,7,0,1,2
Male,Mechanical,0,6,1,1,3
Male,Computer Science,0,6,0,0,1
Female,Mechanical,1,7,0,0,1
Male,Computer Science,1,6,0,1,3
Male,Mechanical,1,6,1,1,3
Male,Computer Science,0,6,0,1,3
Male,Mechanical,0,6,0,1,4
Male,Computer Science,0,5,0,1,4
Male,Electrical,0,5,0,0,2
Male,Electrical,0,5,0,0,2
Male,Computer Science,1,5,0,1,3
Male,Electronics And Communication,0,7,0,1,2
Male,Computer Science,3,7,0,1,3
Male,Computer Science,2,5,0,1,5
Male,Computer Science,2,5,0,1,4
Male,Civil,0,7,0,1,3
Male,Computer Science,1,6,0,1,3
Male,Mechanical,0,5,1,0,1
Male,Electrical,0,6,0,0,0
